Site,Plant,Year,Treatment,Obs,Rep,FTime,EBal?,A,gs,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,
S11,119,2010,W,11,1,1362,0,10.66566552,0.322763054,318.7460192,4.173373978,1.418906222,25.80977249,6,1.420000017,1,2.840000033,26.56042671,25.80977249,26.99137497,399.4862366,384.7480469,14.03750801,18.95481873,40.95494843,54.97428513,499.5740967,1199.81897,0.196877092,101.1645889,17.70570183,0.681676805,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832623494,0.004173374,298.9597725,299.7104267,191.9710309,0.196456964,3.336462667,32.98053896,14.02572024,26.1850996,3.411393785,0.28982477,1.917556445,1.49383734,0.183837343,32.24581,0.828453898,60.79461357,379.6781003,0.01707802,
S11,119,2010,W,12,1,1452.5,0,10.97451215,0.336669928,319.1936769,4.270518616,1.397868386,25.82784271,6,1.420000017,1,2.840000033,26.57169151,25.82784271,26.99246597,399.6619568,384.5090942,14.1677103,19.19825935,41.24707413,55.64455795,499.5715637,1199.687012,0.190225288,101.1637878,17.69383049,0.681770265,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832619273,0.004270519,298.9778427,299.7216915,191.9499176,0.144589873,3.340037022,33.01613248,13.81787313,26.19976711,3.414351637,0.300988966,1.942168636,1.472183,0.191028406,32.29084141,0.830132971,61.58064282,379.2923368,0.017817853,
S11,119,2010,W,13,1,1555.5,0,14.57971628,0.341972989,492.8069726,4.279339278,1.381138412,25.8550396,6,1.420000017,1,2.840000033,26.58886719,25.8550396,26.98983002,600.3919678,579.9007568,14.37710285,19.41693878,41.811409,56.22095871,499.5695496,1199.643799,0.147626176,101.1634521,19.46220207,0.68816179,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832615916,0.004279339,299.0050396,299.7388672,191.9430035,0.138551202,3.34542297,33.0694821,13.65254331,26.22195339,3.41882998,0.305220469,1.964284557,1.454545422,0.193756151,49.85405459,0.849812605,62.1594428,572.970258,0.015817,
S11,119,2010,W,14,1,1644,0,14.35824722,0.337548224,492.2639138,4.202254838,1.371979471,25.88242722,6,1.420000017,1,2.840000033,26.60043335,25.88242722,26.9912281,599.1713257,579.0043335,14.61296463,19.56128502,42.5268631,56.60166168,499.5699158,1199.683838,0.238059372,101.1628265,19.42698479,0.685361803,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832616526,0.004202255,299.0324272,299.7504333,191.9494098,0.176701251,3.350854354,33.12337613,13.56209111,26.24143028,3.422765655,0.301690766,1.978874883,1.443890771,0.191480723,49.79880892,0.850190379,62.41522431,572.1791104,0.01566246,
S11,119,2010,W,15,1,1771,0,15.59342277,0.332817196,677.9668306,4.129561926,1.36522325,25.91864777,6,1.420000017,1,2.840000033,26.61187553,25.91864777,26.99062538,798.9162598,776.3379517,14.8373127,19.69927597,43.14348984,56.96356583,499.5775146,1199.474365,0.194017798,101.1623993,20.45707512,0.691501558,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832629191,0.004129562,299.0686478,299.7618755,191.9158941,0.210859448,3.358049272,33.19463847,13.4953625,26.26526165,3.427586616,0.29790586,1.992826021,1.434760595,0.189041696,68.58475122,0.873288275,62.62077582,768.9255853,0.012699177,
S11,119,2010,W,16,1,1861.5,0,15.76603017,0.328981892,676.2520746,4.107584452,1.371979453,25.98523903,6,1.420000017,1,2.840000033,26.62704277,25.98523903,26.99037361,799.2518311,776.4855347,14.92788506,19.76375008,43.30233765,57.09844208,499.567688,1199.439453,0.205077931,101.1616135,20.43504143,0.6930179,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832612813,0.004107584,299.135239,299.7770428,191.9103082,0.215239547,3.371312299,33.32600364,13.56225357,26.3061409,3.435870086,0.294829256,1.999332846,1.43653724,0.187059804,68.41075097,0.870913938,62.53452264,768.991119,0.01282097,
S11,119,2010,W,17,1,1967.5,0,16.30155877,0.316406435,865.4243681,3.994235507,1.38149894,26.0506134,6,1.420000017,1,2.840000033,26.64426422,26.0506134,26.99019241,1000.354492,976.0932617,15.09690189,19.79912949,43.74214554,57.14221191,499.5700073,1198.924072,0.233742446,101.1599274,20.79057121,0.695466936,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832616679,0.003994236,299.2006134,299.7942642,191.8278473,0.266821541,3.384377441,33.45571244,13.65658296,26.34743881,3.444256137,0.284689027,2.002878501,1.441377636,0.180532087,87.54626622,0.886620574,62.26728309,968.3442814,0.010482365,
S11,119,2010,W,18,1,2057.5,0,16.39634205,0.303403066,859.9720958,3.886081778,1.395792407,26.13024902,6,1.420000017,1,2.840000033,26.66140556,26.13024902,26.98869133,999.1117554,974.8687134,15.24090481,19.81582069,44.10879135,57.13275528,499.5601196,1198.968628,0.235854134,101.1595764,20.82853508,0.694969118,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832600199,0.003886082,299.280249,299.8114056,191.8349762,0.314772786,3.400352435,33.61374726,13.79792657,26.39582729,3.45410475,0.274118428,2.004560028,1.449544722,0.173734555,86.99441294,0.882141445,61.89560763,967.0746776,0.010494138,
S11,119,2010,D,1,1,141.4999998,0,11.4381435,0.330771616,315.5615039,3.900507112,1.293196027,26.98119736,6,1.420000017,1,2.840000033,27.05824471,26.98119736,26.98099709,399.1980896,383.6615906,17.98030853,22.55973244,50.80698395,63.54023743,499.5186462,1199.959106,0.135956779,101.1542587,17.71635246,0.731534898,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832531077,0.003900507,300.1311974,300.2082447,191.9934527,0.24668609,3.575209039,35.34412771,12.78439528,27.01972103,3.583307404,0.296265863,2.282013012,1.301294393,0.187985162,31.92039001,0.822499598,66.63619521,378.224445,0.020151906,
S11,119,2010,D,2,1,229.9999998,0,11.69159749,0.321000926,312.837977,3.793681051,1.291914392,27.02727318,6,1.420000017,1,2.840000033,27.07165146,27.02727318,26.98093414,399.7728882,383.9794006,18.21489334,22.66849518,51.47835159,63.79373932,499.5081482,1200.017456,0.266416728,101.152832,17.6641674,0.72903055,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83251358,0.003793681,300.1772732,300.2216515,192.0027887,0.297941667,3.584896877,35.44040048,12.7719053,27.04946232,3.589570504,0.288403152,2.292982485,1.296588018,0.182922245,31.64444734,0.814725937,66.65306601,378.4217751,0.020592917,
