ID_Year1,ID,Year,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
S16_2012,S16,2012,O'Neil Creek,41.80979,-123.11887,1092,11.4,22,3.6,18.4,1284,80,16.7,275.5,102,2621,2736,352,277,123,313,191,47,-17.9,40.2,997,619,-9999,62
S17_2012,S17,2012,Deep Creek,41.66546,-123.11341,680,12.7,24,3.3,20.8,212,55,107,437.7,95,3065,2460,558,278,117,311,194,5,-19.3,42.8,1144,982,-9999,57
S18_2012,S18,2012,Little Jameson Creek,39.74298,-120.70401,1593,9.2,19.3,1.4,18,1419,45,13.5,431.1,187,2051,3354,156,214,150,284,134,118,-26.3,38.5,1045,705,-9999,54
S29_2012,S29,2012,Oregon Creek,39.39442,-121.08302,440,16.1,25.9,8.1,17.7,1566,27,16.6,949.7,27,4084,1552,820,327,67,336,269,5,-13.8,44.5,1321,905,-9999,55
S32_2012,S32,2012,Wawona,37.539,-119.654,1214,12.9,22.9,6.1,16.8,1025,13,22.3,1821.7,58,3017,2269,412,275,115,310,195,14,-20.1,41.2,1213,855,-9999,54
S36_2012,S36,2012,Deer Creek,42.27411,-123.63617,393,12.1,21.5,4.1,17.4,2074,114,10.7,188.6,76,2784,2469,342,280,118,293,175,43,-17.4,42.8,1140,683,-9999,54
S02_2013,S02,2013,Sweetwater River,32.89928,-116.5849,1168,14.2,22.7,6.4,16.4,381,61,63.4,373.1,38,3418,1884,466,309,90,319,229,4,-14.1,43,1332,984,-9999,55
S07_2013,S07,2013,West Fork Mojave River,34.28425,-117.37539,1092,14.7,23.8,6.7,17,276,41,89.6,578.3,34,3603,1761,539,322,73,329,256,3,-12.8,41.8,1257,983,-9999,59
S08_2013,S08,2013,Redwood Creek,36.69096,-118.90961,1682,10.4,21,2.1,18.9,303,28,67.4,747.5,136,2357,2979,234,240,120,293,173,32,-23.2,38.3,1045,793,-9999,57
S10_2013,S10,2013,North Fork Middle Fork Tule,36.20081,-118.65092,1288,13.3,23.8,4.4,19.4,276,22,84.4,1083,66,3173,2221,487,296,91,312,220,9,-16,40.6,1132,885,-9999,61
S11_2013,S11,2013,Mill Creek,34.07808,-116.87558,1990,8.9,18.5,0.7,17.8,407,78,46.4,238,179,1913,3412,103,210,148,281,134,46,-26.8,36.6,1075,762,-9999,54
S15_2013,S15,2013,Rock Creek,43.37876,-122.95207,1168,10.2,20.2,1.4,18.8,1350,482,15,41.8,134,2281,3038,228,270,117,311,194,71,-16.4,38.2,864,338,-9999,66
S16_2013,S16,2013,O'Neil Creek,41.80979,-123.11887,1092,11.3,23,1.2,21.7,385,117,55.2,195.4,140,2656,2846,406,257,120,305,185,32,-17.9,40.2,1013,691,-9999,60
S17_2013,S17,2013,Deep Creek,41.66546,-123.11341,680,12.5,25.2,0.9,24.3,89,54,252.4,469.1,138,3109,2592,625,258,114,302,188,5,-19.3,42.8,1161,1055,-9999,55
S18_2013,S18,2013,Little Jameson Creek,39.74298,-120.70401,1593,8.9,20.2,-1.3,21.5,486,118,38.8,170.8,256,2058,3490,174,201,141,284,143,105,-26.3,38.5,1018,687,-9999,52
S29_2013,S29,2013,Oregon Creek,39.39442,-121.08302,440,15.9,26.8,5.8,21,456,75,56.7,356,39,4049,1647,852,306,82,317,235,6,-13.8,44.5,1324,947,-9999,53
S32_2013,S32,2013,Wawona,37.539,-119.654,1214,12.9,23.4,4.2,19.2,305,31,74.8,757.1,71,3037,2318,438,261,112,298,185,12,-20.1,41.2,1220,923,-9999,52
S36_2013,S36,2013,Deer Creek,42.27411,-123.63617,393,12,22.6,1.5,21.1,621,172,35.4,131.6,112,2848,2580,416,258,115,295,180,37,-17.4,42.8,1164,721,-9999,52
S02_2014,S02,2014,Sweetwater River,32.89928,-116.5849,1168,15.6,23.7,9.5,14.2,474,43,54.1,556.6,20,3918,1479,599,337,64,342,278,1,-14.1,43,1401,1142,-9999,56
